Movie,Re-Watch Desire,Wins,Losses,Ties,IMDb Rating,Box Office (In Millions),MPAA Numeric,Award Winner,Foreign Film,Runtime (min),Budget (In Millions),Action,Biography,Comedy,Crime,Drama,Fantasy,History,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War
It's a Wonderful Life,10,54,0,0,8.6,6.5,2,0,0,130,3.18,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Good Will Hunting,10,53,1,0,8.3,225,4,1,0,126,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Catch Me If You Can,10,52,2,0,8.1,352,3,0,0,141,52,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Whiplash,9.6,50,4,0,8.5,49,4,1,0,106,3.3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Eternal Sunshine of the Spotless Mind,9.4,49,5,0,8.3,74,4,1,0,108,20,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
The Big Short,9.2,48,6,0,7.8,133,4,1,0,130,50,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Dallas Buyers Club,9.2,48,6,0,7.9,55,4,1,0,117,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Coraline,8.4,44,10,0,7.8,125,2,0,0,100,60,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Joker,8.2,43,11,0,8.4,1074,4,1,0,122,55,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Big Fish,8,42,12,0,8,123,3,0,0,125,70,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
The Dark Knight,7.6,40,14,0,9,1005,3,1,0,152,185,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Fight Club,7.6,40,14,0,8.8,101,4,0,0,139,63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Lion King,7.6,40,14,0,8.5,968,1,1,0,88,45,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Coco,7.6,40,14,0,8.4,814,2,1,0,105,175,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
WALL.E,7.2,38,16,0,8.4,533,1,1,0,98,180,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Inside Out,7.2,38,16,0,8.1,858,2,1,0,95,175,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
American Beauty,7,37,17,0,8.3,356,4,1,0,122,15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Hercules,6.8,36,18,0,7.3,252,1,0,0,93,85,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0
Tarzan,6.8,36,18,0,7.3,448,1,1,0,88,130,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Uncut Gems,6.6,35,19,0,7.4,50,4,0,0,135,19,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Forrest Gump,6.6,35,19,0,8.8,678,3,1,0,142,55,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
The Farewell,5.9,29,20,0,7.5,23,2,0,1,100,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Big Lebowski,5.7,28,21,0,8.1,46,4,0,0,117,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Everything Everywhere All At Once,5.6,30,24,0,7.8,141,4,1,0,139,25,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
Up,5.5,27,22,0,8.3,735,2,1,0,96,175,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Nightmare Before Christmas,5.4,29,25,0,7.9,91,2,0,0,76,18,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Big Hero 6,5.2,28,26,0,7.8,658,2,1,0,102,165,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Titanic,5,27,27,0,7.9,2200,4,1,0,195,200,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Iron Man,5,27,27,0,7.9,585,3,1,0,126,140,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
The Imitation Game,4.6,25,29,0,8,223,3,1,0,113,14,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
DiDi,4.6,25,29,0,7.6,4.7,4,1,0,93,15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Soul,4.4,24,30,0,8,121,2,1,0,100,150,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
The Fabelmans,4.4,24,30,0,7.5,45,3,0,0,151,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Social Network,4,22,32,0,7.8,224,3,1,0,120,40,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
American Psycho,3.8,21,33,0,7.6,34,4,1,0,102,7,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Parasite,3.4,19,35,0,8.5,263,4,1,1,132,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Office Space,3.4,19,35,0,7.6,12,4,0,0,89,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Moneyball,3.2,18,36,0,7.6,110,3,0,0,133,50,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Turning Red,3.2,18,36,0,7,20,2,0,0,100,175,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0
Cars,3,17,37,0,7.2,462,1,0,0,117,120,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Mulan,2.8,16,38,0,7.7,304,1,0,0,88,90,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
Your Name,2.4,14,40,0,8.4,380,2,0,1,106,5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Logan,2.2,13,41,0,8.1,619,4,0,0,137,97,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Straight Outta Compton,1.8,11,43,0,7.8,201,4,0,0,147,28,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
La La Land,1.8,11,43,0,8,448,3,1,0,128,30,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
The Pursuit of Happyness,1.6,10,44,0,8,307,3,0,0,117,55,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Moana,1.4,9,45,0,7.6,645,2,0,0,107,150,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Vice,1.2,8,46,0,7.2,77,4,1,0,132,60,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Lilo & Stitch,1.2,8,46,0,7.3,273,2,0,0,85,80,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
Past Lives,1,7,47,0,7.8,22,3,0,1,106,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Wolf of Wall Street,0.6,5,49,0,8.2,406,4,0,0,180,100,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Monsters, Inc.",0.4,4,50,0,8.1,577,1,0,0,92,115,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
The Whale,0,2,52,0,7.6,55,4,1,0,117,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kung Fu Panda,0,1,53,0,7.6,631,2,0,0,92,130,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
The Lego Movie,0,1,53,0,7.7,468,2,0,0,100,60,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
