Movie,Re-Watch Desire,Wins,Losses,Ties
It's a Wonderful Life,10,54,0,0
Good Will Hunting,10,53,1,0
Catch Me If You Can,10,52,2,0
Whiplash,9.6,50,4,0
Eternal Sunshine of the Spotless Mind,9.4,49,5,0
The Big Short,9.2,48,6,0
Dallas Buyers Club,9.2,48,6,0
Coraline,8.4,44,10,0
Joker,8.2,43,11,0
Big Fish,8,42,12,0
The Dark Knight,7.6,40,14,0
Fight Club,7.6,40,14,0
The Lion King,7.6,40,14,0
Coco,7.6,40,14,0
WALL.E,7.2,38,16,0
Inside Out,7.2,38,16,0
American Beauty,7,37,17,0
Hercules,6.8,36,18,0
Tarzan,6.8,36,18,0
Uncut Gems,6.6,35,19,0
Forrest Gump,6.6,35,19,0
The Farewell,6.2,33,21,0
The Big Lebowski,5.8,31,23,0
Up,5.6,30,24,0
Everything Everywhere All At Once,5.6,30,24,0
The Nightmare Before Christmas,5.4,29,25,0
Big Hero 6,5.2,28,26,0
Titanic,5,27,27,0
Iron Man,5,27,27,0
The Imitation Game,4.6,25,29,0
DiDi,4.6,25,29,0
Soul,4.4,24,30,0
The Fabelmans,4.4,24,30,0
The Social Network,4,22,32,0
American Psycho,3.8,21,33,0
Parasite,3.4,19,35,0
Office Space,3.4,19,35,0
Moneyball,3.2,18,36,0
Turning Red,3.2,18,36,0
Cars,3,17,37,0
Mulan,2.8,16,38,0
Your Name,2.4,14,40,0
Logan,2.2,13,41,0
Straight Outta Compton,1.8,11,43,0
La La Land,1.8,11,43,0
The Pursuit of Happyness,1.6,10,44,0
Moana,1.4,9,45,0
Vice,1.2,8,46,0
Lilo & Stitch,1.2,8,46,0
Past Lives,1,7,47,0
The Wolf of Wall Street,0.6,5,49,0
"Monsters, Inc.",0.4,4,50,0
The Whale,0,2,52,0
Kung Fu Panda,0,1,53,0
The Lego Movie,0,1,53,0
